Cruise ,Station,Type ,mon/day/yr,hh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth[m],Depth[m],Reference ,Doi,Pre-Press (calculated),Press ,Day ,Month ,Year ,ONI 3.4 region,ANOM 3.4 region,TNI,1+2 Coast,PDO state,Temperature insitu ,Temperature pot,Salinity CTD,Salinity bottle,Density sigma t,Density Kg/L,Oxygen (umol/Kg),Oxygen (umol/L),Oxygen (ml/L),AOU (umol/Kg),Oxygen (mg/L),PO4 [µmol/l],PO4 [µmol/Kg],NO2 [µmol/l],NO2 [µmol/Kg],SiO4 [µmol/l],SiO4 [µmol/Kg],NO3 [µmol/Kg],TCO2,DIC umol kg-1,Alkalinity (umol/Kg) measurement ,Alkalinity (umol/Kg) SW,pH NBS at 25C,pH sea water,pH total,pH plots,CFC12,"WCa at measurement conditions (20°C, P=0)","WAr at measurement conditions (20°C, P=0)",CO32-measurement conditions(µmol/kgSW),HCO3 measurements conditions (µmol/kgSW),WCa at ambient temp and P,WAr at at ambient temp and P,CO32- ambient temp and P µmol/kg SW),d18O,SD ?18O,d18O corr ,SD ?18O,dD,SD ?D,d13C,SD d13C,d13C Cristian,d18O eq calcite Kim and Oneil 1995 Discrimit ,d18O eq calcite Kim and Oneil 1995 d18O cal-d18Osw (theoretical one),d18O eq calcite Kim and Oneil 1995 d18O Equation ,"d18O eq calcite Lynch et al., 1999",d18Oeq Marchitto et al 2014,d18Oeq Marchitto et al 2014 cuadratic,Discriminate,Value discriminate,ESSW,ESSW %,AAIW,AAIW %,PDW,PDW %,STW,STW%,SAAW,SAAW %,Remineralization OMP,Denitrification OMP,Denitrification/100,Extrainfo,Extrainfo2,st,depth ,presure
Taitao Cimar,st 1,CTD/Bottle ,*,0.32,-74.79,-41.75,450,2,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,2.2,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.33,,33.23,,25.15,1.025,275.76,282.7,6.33,-11.0026,,0.03,0.03,0.1,0.1,2.13,2.08,0.87,,,,,,,,,,,,,,,,,-0.5,0.08,-0.5,0.08,-2.39,0.11,2.53,0.07,,16.575,0.817,0.317,0.021,-0.002,1.461,A,0.14,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 1,CTD/Bottle ,*,0.32,-74.79,-41.75,450,5,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,4.97,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.33,,33.23,,25.15,1.025,273.58,280.46,6.28,-8.8204,,0.02,0.02,0.1,0.1,0.99,0.97,1,,,,,,,,,,,,,,,,,-0.46,0.14,-0.46,0.14,-2.18,0.25,2.57,0.04,,16.575,0.817,0.357,0.061,0.038,1.501,B,-4.3,-1.94,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 1,CTD/Bottle ,*,0.32,-74.79,-41.75,450,20,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,20.18,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.97,,33.26,,25.24,1.025,268.77,275.55,6.17,-2.0193,,0.31,0.3,0.25,0.24,1.58,1.54,2.21,,,,,,,,,,,,,,,,,-0.3,0.08,-0.3,0.08,-1.82,0.09,1.81,0.02,,16.373,0.906,0.606,0.296,0.279,1.653,C,15.75,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 1,CTD/Bottle ,*,0.32,-74.79,-41.75,450,25,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,25.19,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.32,,33.31,,25.4,1.025,244.34,250.54,5.61,26.0671,,0.15,0.15,0.24,0.23,1.9,1.85,2.81,,,,,,,,,,,,,,,,,-0.29,0.06,-0.29,0.06,-1.69,0.15,1.53,0.04,,16.009,1.067,0.777,0.443,0.434,1.656,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 1,CTD/Bottle ,*,0.32,-74.79,-41.75,450,50,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,50.36,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,10.83,,33.55,,25.68,1.026,230.34,236.25,5.29,42.5518,,0.43,0.42,0.39,0.38,1.82,1.77,4.7,,,2229.18,2227.223389,8.08,8.2,,8.2,,3.528,2.287,145.93,,3.382,2.15,142.04,-0.28,0.01,-0.28,0.01,-1.91,0.11,1.71,0.06,,15.735,1.19,0.91,0.556,0.554,1.667,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 1,CTD/Bottle ,*,*,-74.79,-41.75,450,100,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,100.85,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,9.88,,34.06,,26.24,1.026,172.33,176.85,3.96,105.4306,,1.29,1.26,0.08,0.08,7.17,6.99,13.95,,,2229.18,2225.515625,7.89,8.02,,8.02,,2.433,1.579,101.02,,2.276,1.447,96.8,-0.16,0.03,-0.16,0.03,-0.82,0.05,0.75,0.03,,15.203,1.432,1.272,0.875,0.887,1.803,,,0.08,7.93,0.1,9.97,,,0,0,0.82,82.46,0.2,5.24,0.05,Bottle,,st 1,450,100.85
Taitao Cimar,st 1,CTD/Bottle ,*,*,-74.79,-41.75,450,300,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,302.2,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,7.85,,34.36,,26.79,1.027,95.25,97.81,2.19,195.0449,,1.97,1.92,0.08,0.08,12.08,11.76,18.09,,,2268.29,2261.285156,7.79,7.93,,7.93,,2.02,1.311,84.06,,1.778,1.13,78.72,-0.05,0.02,-0.05,0.02,0.02,0.14,0.38,0.03,,14.066,1.963,1.913,1.412,1.452,2.015,,,0.43,42.96,0.28,27.53,,,0,0,0.3,29.99,0.04,8.21,0.08,Bottle,,st 1,450,302.2
Taitao Cimar,st 1,CTD/Bottle ,*,*,-74.79,-41.75,450,450,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,423.49,1,11,2018,0.9,0.86,-1.734,22.46,-0.78,6.64,,34.29,,26.91,1.027,134.38,138,3.09,164.3805,,1.63,1.59,0.08,0.08,9.27,9.03,14.79,,,2268.29,2259.800049,7.83,7.98,,7.98,,2.192,1.423,91.16,,1.877,1.192,85.08,-0.05,0.03,-0.05,0.03,-0.25,0.08,0.61,0.04,,13.388,2.289,2.239,1.666,1.723,2.118,,,0.23,23.11,0.48,47.96,,,0.04,4.43,0.24,24.49,0,9.07,0.09,Bottle,,st 1,450,423.49
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,0,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,1.07,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.19,,33.49,,25.38,1.025,286.59,293.86,6.58,-21.4791,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,0.05,-0.38,0.05,-2.52,0.15,,,,16.496,0.852,0.472,0.17,0.149,1.578,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,2,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,2.02,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.21,,33.5,,25.39,1.025,298.78,306.37,6.86,-33.7965,,0.42,0.41,0.14,0.14,2.31,2.25,1.93,,,,,,,,,,,,,,,,,-0.26,0.04,-0.26,0.04,-1.98,0.03,2.36,0.04,,16.508,0.847,0.587,0.286,0.265,1.698,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,5,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,4.98,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.28,,33.5,,25.37,1.025,279.19,286.27,6.41,-14.5967,,0.15,0.15,0.13,0.13,3.99,3.89,1.04,,,,,,,,,,,,,,,,,-0.27,0.04,-0.27,0.04,-2.08,0.17,2.38,0.06,,16.547,0.829,0.559,0.261,0.239,1.69,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,15,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,15.1,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.07,,33.49,,25.4,1.025,278.31,285.38,6.39,-12.5123,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,0.18,-0.34,0.18,-2.18,0.44,,,,16.429,0.881,0.541,0.235,0.216,1.615,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,50,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,50.39,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.01,,33.63,,25.71,1.026,256.45,263.05,5.89,15.2423,,0.59,0.58,0.45,0.44,3.07,2.99,4.94,,,2229.18,2227.147217,8.03,8.15,,8.15,,3.204,2.077,132.61,,3.067,1.951,128.85,-0.33,0.05,-0.33,0.05,-2.39,0.14,1.67,0.03,,15.836,1.145,0.815,0.468,0.464,1.616,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,100,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,100.8,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,10.33,,33.95,,26.08,1.026,194.99,200.08,4.48,80.2305,,0.21,0.2,0.2,0.19,3.49,3.4,4.16,,,2229.18,2225.85791,7.94,8.06,,8.06,,2.69,1.745,111.61,,2.531,1.609,107.53,-0.22,0.1,-0.22,0.1,-1.76,0.16,1.01,0.02,,15.455,1.317,1.097,0.721,0.726,1.733,,,0,0,0.02,1.62,,,0,0,1.01,101.2,0,7.18,0.07,Bottle,,st5,1000,100.8
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,300,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,302.4,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,7.59,,34.33,,26.81,1.027,107.43,110.31,2.47,184.6553,,1.68,1.64,0.08,0.08,9.13,8.89,13.97,,,2268.29,2261.258057,7.8,7.94,,7.94,,2.062,1.339,85.78,,1.814,1.152,80.32,0.01,0.18,0.01,0.18,-0.54,0.53,0.44,0.03,,13.92,2.032,2.042,1.526,1.57,2.094,,,0.37,36.69,0.29,29.06,,,0,0,0.34,34.25,0,10.24,0.1,Bottle,,st5,1000,302.4
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,500,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,504.41,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,5.58,,34.22,,26.99,1.027,185.25,190.25,4.26,121.2445,,1.73,1.68,0.08,0.08,9.3,9.06,17.82,,,2307.4,2297.741455,7.91,8.08,,8.08,,2.624,1.703,109.1,,2.217,1.408,102.17,-0.16,0.04,-0.16,0.04,-1.45,0.23,1.1,0.04,,12.795,2.582,2.422,1.778,1.85,2.125,,,0.32,31.74,0.75,74.93,0,0,,,,,0,10.93,0.11,Bottle,,st5,,504.41
Taitao Cimar,st5,CTD/Bottle ,*,*,-75.07,-42.53,1000,900,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,909.81,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,3.98,,34.32,,27.25,1.027,137.82,141.57,3.17,180.7975,,1.87,1.82,0.17,0.17,27.2,26.48,19.87,,,2307.4,2292.970215,7.86,8.03,,8.03,,2.367,1.537,98.49,,1.804,1.149,90.31,-0.15,0.02,-0.15,0.02,-1.4,0.15,0.83,0.04,,11.899,3.038,2.888,2.124,2.218,2.359,,,0.22,21.73,0.65,64.54,0.14,13.74,,,,,0,10.22,0.1,Bottle,,st5,,909.81
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,0,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,1.08,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.7,,33.37,,25.38,1.025,293.56,301.01,6.74,-25.4678,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,0.16,-0.21,0.16,-2.14,0.48,2.3,0.04,,16.222,0.973,0.763,0.443,0.429,1.739,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,2,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,2.08,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.76,,33.37,,25.37,1.025,310.11,317.98,7.12,-42.3599,,0.16,0.16,0.34,0.33,1.98,1.93,1.36,,,,,,,,,,,,,,,,,-0.39,0.24,-0.39,0.24,-2.57,0.65,2.35,0.05,,16.256,0.958,0.568,0.25,0.236,1.56,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,18,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,18.11,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.51,,33.39,,25.43,1.025,285.27,292.52,6.55,-16.1053,,0.29,0.28,0.4,0.39,1.86,1.81,1.74,,,,,,,,,,,,,,,,,,,,,,,2.04,0.03,,,,,,,,,,,,,,,,,,,,,,,Bottle,,,,
